XML_ID,Wikidata_ID,Viaf_ID,NHRP_ID,Given_Name,Surname,Name,Year_of_Birth,Year_of_Death,Lifespan,Instance,Gender,Country_of_citizenship,Occupation,Letters_Received,Times_Mentioned,Brief_Description,Spouses_Name,Spouses_ID
peKMR,,,,KNUD [MARIUS],ROSENDAHL,KNUD [MARIUS] ROSENDAHL,1822,1885,1822-1885,human,male,Norway,actor,0,1,norsk skuespiller.,,
peVJR,Q12341046,96421282,,VILHELM [JACOB],ROSENSTAND,VILHELM [JACOB] ROSENSTAND,1838,1915,1838-1915,human,male,Denmark,painter,0,1,dansk maler.,,
peCMR,Q13426796,59349159,,CHRISTIAN MEYER,ROSS,CHRISTIAN MEYER ROSS,1843,1904,1843-1904,human,male,Norway,painter,2,0,norsk maler.,,
peHMER,Q1582106,102441235,pf01053257116811,HANS [MATTHIAS ELISÆUS],ROSS,HANS [MATTHIAS ELISÆUS] ROSS,1833,1914,1833-1914,human,male,Norway,linguist,0,1,norsk språkforsker.,,
peErR,Q1356814,30333977,,ERNESTO,ROSSI,ERNESTO ROSSI,1827,1896,1827-1896,human,male,Italy,actor,0,1,italiensk skuespiller.,,
pePdR,Q673256,64074105,,PELLEGRINO DE,ROSSI,PELLEGRINO DE ROSSI,1787,1848,1787-1848,human,male,Italy,"politician, economist",0,1,italiensk politiker og nasjonaløkonom.,,
peKR,Q12322891,120516001,,KRISTEN,ROVSING,KRISTEN ROVSING,1812,1889,1812-1889,human,male,Denmark,headmaster,0,2,dansk skolestyrer.,,
peMR,Q54147311,,,MARIE [NICOLINA THEODORA],ROVSING,MARIE [NICOLINA THEODORA] ROVSING,1814,1888,1814-1888,human,female,Denmark,suffragette,1,0,dansk kvinnesaksforkjemper.,KRISTEN ROVSING,peKR
peARub,Q2482314,10603202,,ALBERT,RUBENSON,ALBERT RUBENSON,1826,1901,1826-1901,human,male,Sweden,"composer, critic",0,1,"svensk komponist, fiolinist og musikkritiker.",,
peMRu,Q6082174,,,MAURITZ,RUBENSON,MAURITZ RUBENSON,1836,1899,1836-1899,human,male,Sweden,"author, journalist",0,1,svensk forfatter og journalist.,,
peRudd,,,,GEORGE ALLEN,RUDD,GEORGE ALLEN RUDD,1853,1888,1853-1888,human,male,United States of America,painter,0,1,amerikansk maler.,,
peRu,,,,JANE STUART,RUDD,JANE STUART RUDD,,,,human,female,,married to,0,1,amerikansk malerhustru.,GEORGE ALLEN RUDD,peRudd
peJR,Q94738714,65559606,,JULIE,RUHKOPF,JULIE RUHKOPF,1799,1880,1799-1880,human,female,Germany,author,2,2,tysk forfatterinne.,,
peWMR,Q1398812,8555283,,WALTER [MAGNUS],RUNEBERG,WALTER [MAGNUS] RUNEBERG,1838,1920,1838-1920,human,male,,sculptor,0,3,finsk billedhugger.,,
peORus,Q11017754,96459031,pf01038180000361,OLAV [GEORG MARTINIUS],RUSTEN (fra 1890-årene: RUSTI),OLAV [GEORG MARTINIUS] RUSTEN (fra 1890-årene: RUSTI),1850,1920,1850-1920,human,male,Norway,"painter, illustrator",0,1,norsk tegner og maler.,,
peVR,Q432129,51730265,,[ABRAHAM] VIKTOR,RYDBERG,[ABRAHAM] VIKTOR RYDBERG,1828,1895,1828-1895,human,male,Sweden,poet,0,2,svensk dikter.,,
peWiR,Q38151630,,,[JULIUS] WILHELM,RYDBERG,[JULIUS] WILHELM RYDBERG,1850,1915,1850-1915,human,male,Sweden,"actor, theatre director",0,1,svensk skuespiller og teaterdirektør.,,
peMRy,Q4571458,,pk00000001572260,[NILS] MATHIAS,RYE,[NILS] MATHIAS RYE,1824,1905,1824-1905,human,male,Norway,civil servant,1,0,norsk embetsmann.,,
peRye,,,,FRØKEN,RYE,FRØKEN RYE,,,,human,male,Norway,,1,0,"ikke identifisert, sannsynligvis norsk.",,
peEvald,Q1379615,223499843,pf01053257048055,EVALD,RYGH,EVALD RYGH,1842,1913,1842-1913,human,male,Norway,"politician, civil servant",0,2,norsk embetsmann og politiker.,,
peORy,Q1345868,74610465,pf01052055045451,OLUF,RYGH,OLUF RYGH,1833,1899,1833-1899,human,male,Norway,"historian, archaeologist",0,1,"norsk historiker, arkeolog og navnegransker.",,
peJHRo,Q88774613,106886724,,JOHAN HERMAN,RÖSSING,JOHAN HERMAN RÖSSING,1847,1918,1847-1918,human,male,,"journalist, critic",0,1,nederlandsk journalist og teaterkritiker (Laan 1952).,,
peARS,Q20031974,281528935,,ANNA (Johanna Cornelia Sophia),RÖSSING-SABLAIROLLES,ANNA (Johanna Cornelia Sophia) RÖSSING-SABLAIROLLES,1861,1945,1861-1945,human,female,,actor,0,1,nederlandsk skuespillerinne.,,
peUgS,,,,UGO,SACCENTI,UGO SACCENTI,,,,human,male,Italy,theatre personnel,0,1,italiensk teatermann.,,
peFTSa,,,,FREDERIK THEOCAR,SALICATH,FREDERIK THEOCAR SALICATH,1847,1911,1847-1911,human,male,Norway,civil servant,0,1,norsk embetsmann (Sommerfeldt 1954).,,
peOSa,,,,OSKAR,SALICATH,OSKAR SALICATH,1844,1890,1844-1890,human,male,Norway,wholesaler,1,4,norsk grosserer.,,
peIS,Q6077069,,,ISAAC,SALMONSEN,ISAAC SALMONSEN,1846,1910,1846-1910,human,male,Denmark,bookseller,0,1,dansk bokhandler.,,
peMSa,,,,MARTIN,SALOMONSEN,MARTIN SALOMONSEN,1814,1889,1814-1889,human,male,Denmark,doctor,0,2,"dansk lege (DBL; K&E 1, 312).",,
peSand,Q3816,46766944,,GEORGE,SAND,GEORGE SAND,1804,1876,1804-1876,human,female,France,author,0,1,fransk forfatterinne.,,
peJeSa,Q18458802,3218149068446965730009,pf01036392034172,JENNY (BJØRNSON),SANDBERG,JENNY (BJØRNSON) SANDBERG,1846,1914,1846-1914,human,female,Norway,boarding house inkeeper,0,2,norsk pensjonatvertinne.,,
peJES,Q954705,45102506,pf01053257049934,[JOHAN] ERNST [WELHAVEN],SARS,[JOHAN] ERNST [WELHAVEN] SARS,1835,1917,1835-1917,human,male,Norway,historian,1,9,norsk historiker.,,
peOSar,Q658307,18004137,pl00000000006323,GEORG OSSIAN,SARS,GEORG OSSIAN SARS,1837,1927,1837-1927,human,male,Norway,zoologist,0,2,norsk zoolog.,,
peTdS,Q19838980,73986267,,THEODORE DE,SAUSSURE,THEODORE DE SAUSSURE,1824,1903,1824-1903,human,male,Switzerland,"author, painter",0,1,sveitsisk forfatter og amatørmaler.,,
peASa,Q2831539,93256826,,ALBERT,SAVINE,ALBERT SAVINE,1859,1927,1859-1927,human,male,France,"publisher, translator, critic",1,6,"fransk kritiker, oversetter og forlegger.",,
peJeBS,Q13513,64011652,,JEAN BAPTISTE,SAY,JEAN BAPTISTE SAY,1767,1832,1767-1832,human,male,France,economist,0,1,fransk nasjonaløkonom.,,
peBHWS,Q64499053,,pf01037045021667,BERENT [HENRIK WILHELM],SCHANCHE,BERENT [HENRIK WILHELM] SCHANCHE,1856,1918,1856-1918,human,male,Norway,actor,0,2,norsk skuespiller.,,
peSS,Q321499,18004192,,SOPHUS [CHRISTIAN FREDERIK],SCHANDORPH,SOPHUS [CHRISTIAN FREDERIK] SCHANDORPH,1836,1901,1836-1901,human,male,Denmark,author,1,1,dansk forfatter.,,
peJSch,Q6096372,18024140,pf01052721007800,JOHAN,SCHARFFENBERG,JOHAN SCHARFFENBERG,1869,1965,1869-1965,human,male,Norway,"politician, doctor, publicist",1,0,"norsk lege, publisist og sosialpolitiker.",,
peCHSch,Q1528393,3497149844951002960008,,[CARL] HENRIK,SCHARLING,[CARL] HENRIK SCHARLING,1836,1920,1836-1920,human,male,Denmark,"author, theologian",0,2,"dansk teolog og forfatter (K&E 1, 320).",,
peVS,,,,[JOSEPH] VICTOR [VON],SCHEFFELL,[JOSEPH] VICTOR [VON] SCHEFFELL,1826,1886,1826-1886,human,male,Germany,author,0,1,tysk forfatter.,,
peWHo,Q12010661,,pf01037045011300,WILHELMINE HOLMBOE («Wielma Lhombino»),SCHENSTRØM,WILHELMINE HOLMBOE («Wielma Lhombino») SCHENSTRØM,1842,1939,1842-1939,human,female,Norway,singer,0,1,norsk sangerinne.,ROLF SCHENSTRØM,noID
peGSche,Q17501750,308740405,,GEORG [SOPHUS FREDERIK],SCHEPELERN,GEORG [SOPHUS FREDERIK] SCHEPELERN,1839,1900,1839-1900,human,male,Denmark,vicar,0,1,dansk prest.,,
peDSchee,Q28038668,42606781,,LUDWIG S.,SCHEEFFER,LUDWIG S. SCHEEFFER,1859,1885,1859-1885,human,male,Germany,mathematician,0,1,tysk matematiker.,,
peWSch,Q112136,17294417,,WILHELM,SCHERER,WILHELM SCHERER,1841,1886,1841-1886,human,male,Germany,"literary historian, littérateur",0,1,tysk språk- og litteraturhistoriker.,,
peCFvS,Q99576,52461551,,CHRISTOPH GOTTLIEB ADOLF FREIHERR VON,SCHEURL,CHRISTOPH GOTTLIEB ADOLF FREIHERR VON SCHEURL,1811,1893,1811-1893,human,male,Germany,jurist,0,1,tysk rettslærd.,,
peASch,Q4739832,,pf01036392000381,AMANDUS [THEODOR],SCHIBSTED,AMANDUS [THEODOR] SCHIBSTED,1849,1913,1849-1913,human,male,Norway,"journalist, owner of a newspaper",2,0,norsk journalist og aviseier.,,
pePCS,Q21714724,,,[PETER] CHRISTIAN,SCHIERBECK,[PETER] CHRISTIAN SCHIERBECK,1835,1865,1835-1865,human,male,Denmark,sculptor,0,2,dansk billedhugger.,,
peFSch,Q22670,96994450,,[JOHANN CHRISTOPH] FRIEDRICH VON,SCHILLER,[JOHANN CHRISTOPH] FRIEDRICH VON SCHILLER,1759,1805,1759-1805,human,male,Germany,author,0,2,tysk forfatter.,,
peASchi,Q364118,223587125,pf01038027028494,ADOLF,SCHIRMER,ADOLF SCHIRMER,1850,1930,1850-1930,human,male,Norway,architect,0,2,norsk arkitekt.,,
peElSc,,,,ELSE,SCHIRMER,ELSE SCHIRMER,,,,human,male,,,0,2,bosatt i München. Sommergjest i Gossensass.,,
peOES,Q3372656,15074618,,OSKAR EMIL,SCHIØTZ,OSKAR EMIL SCHIØTZ,1846,1925,1846-1925,human,male,Norway,physicist,0,1,norsk fysiker.,,
peMSc,Q6787268,81610543,pf01036392102446,MATHILDE,SCHJØTT,MATHILDE SCHJØTT,1844,1926,1844-1926,human,female,Norway,"author, literary critic, littérateur, suffragette, critic",1,1,"norsk forfatterinne, litteraturkritiker og kvinnesaksforkjemper.",,
peESchl,Q465361,52485159,,EDUARD,SCHLEICH,EDUARD SCHLEICH,1812,1874,1812-1874,human,male,Germany,painter,0,1,tysk landskapsmaler.,,
pePS,Q194574,66592477,,PAUL,SCHLENTHER,PAUL SCHLENTHER,1854,1916,1854-1916,human,male,Germany,"theatre manager, critic",2,15,tysk kritiker og teaterleder.,,
peSchl,,,,fru,SCHLESINGER,fru SCHLESINGER,,,,human,male,,,0,1,ikke identifisert.,,
peHS,,,,HANS,SCHLYTTER,HANS SCHLYTTER,1823,1903,1823-1903,human,male,Norway,civil servant,1,0,norsk hoffembetsmann.,,
peAdSch,,,,ADELHEID,SCHMIDT,ADELHEID SCHMIDT,,,,human,female,,,1,0,"datter av Oswald Schmidt i München (HU 19, 309). ",,
peAuSc,,,,AUGUSTE,SCHMIDT,AUGUSTE SCHMIDT,1844,1908,1844-1908,human,female,,married to,0,1,tysk forfatterhustru.,MAXIMILIAN (fra 1898 arvelig æresnavn: Waldschmidt) SCHMIDT,peMSch
peEASc,,,,EMILIE AMALIA,SCHMIDT,EMILIE AMALIA SCHMIDT,1846,1904,1846-1904,human,female,,married to,0,1,dansk forfatterhustru.,[PETER CARL] RUDOLPH SCHMIDT,peRS
peErSc,Q72966,10144782939267692111,,[FRANZ] ERICH,SCHMIDT,[FRANZ] ERICH SCHMIDT,1853,1913,1853-1913,human,male,Germany,"literary historian, littérateur",0,2,tysk litteraturhistoriker.,,
peSchm,,,,herr,SCHMIDT,herr SCHMIDT,,,,human,male,,,0,1,"sønn av Oswald Schmidt i München, ror av Adelheid Schmidt. ",,
peLHS,,,,LUDWIG HEINRICH,SCHMIDT,LUDWIG HEINRICH SCHMIDT,,,,human,male,Germany,"author, schoolbook author",0,1,tysk lærebokforfatter.,,
peMSch,Q95749,67258281,,MAXIMILIAN (fra 1898 arvelig æresnavn: Waldschmidt),SCHMIDT,MAXIMILIAN (fra 1898 arvelig æresnavn: Waldschmidt) SCHMIDT,1832,1919,1832-1919,human,male,Germany,playwright,5,0,tysk forteller og dramatiker.,,
peOSch,,,,OSWALD,SCHMIDT,OSWALD SCHMIDT,1853,,1853-,human,male,Germany,"littérateur, doctor",5,3,"tysk lege og litterat (Anker 2, 69; L. Dietrichson 1896-1917, b. 1, 357).",HERMIONE (Hermine) Freiin VON PREUSCHEN,peHvP
peRS,Q26132687,47542079,,[PETER CARL] RUDOLPH,SCHMIDT,[PETER CARL] RUDOLPH SCHMIDT,1836,1899,1836-1899,human,male,Denmark,author,8,6,dansk forfatter.,,
peRSC,Q42529442,18014926,,RIA,SCHMUJLOW-CLAASSEN,RIA SCHMUJLOW-CLAASSEN,1868,1952,1868-1952,human,female,Germany,"actor, critic",1,0,tysk skuespillerinne og kritiker.,WLADIMIR SCHMUJLOW,noID
peMS,,,,MARTIN,SCHNEEKLOTH,MARTIN SCHNEEKLOTH,1844,1871,1844-1871,human,male,Denmark,university student,1,1,dansk student.,,
peASchnei,Q4820812,78308467,,[GERHARD] AUGUST,SCHNEIDER,[GERHARD] AUGUST SCHNEIDER,1842,1873,1842-1873,human,male,Norway,"painter, illustrator",0,1,"norsk maler, folkeminnesamler og illustratør.",,
peBS,Q11960103,2922148997636359870006,pf01036392016754,BALTHAZAR,SCHNITLER,BALTHAZAR SCHNITLER,1862,1913,1862-1913,human,male,Norway,author,0,1,norsk forfatter (Sommerfeldt 1954).,,
peDJTS,,,,DIDERIK THOMAS JOHANNES,SCHNITLER,DIDERIK THOMAS JOHANNES SCHNITLER,1833,1888,1833-1888,human,male,Norway,military officer,1,0,norsk offiser.,,
peLASc,Q6699069,234149106019168490784,,LUDVIG ABELIN,SCHOU,LUDVIG ABELIN SCHOU,1838,1867,1838-1867,human,male,Denmark,painter,0,2,dansk maler.,,
peOSc,Q13422470,42648993,pf01037028000002,OLAF [FREDRIK],SCHOU,OLAF [FREDRIK] SCHOU,1861,1925,1861-1925,human,male,Norway,"art collector, patron",0,1,norsk kunstsamler og mesen.,,
peChS,Q11903492,,pf01038196001489,[EDELE] CHRISTIANE [MARGRETA],SCHREIBER,[EDELE] CHRISTIANE [MARGRETA] SCHREIBER,1822,1898,1822-1898,human,female,Norway,painter,0,12,norsk malerinne.,,
peESch,Q205904,23926460,,EMIL [THEODOR],SCHREINER,EMIL [THEODOR] SCHREINER,1831,1910,1831-1910,human,male,Norway,"teacher, philologist",2,0,norsk klassiskfilolog og skolemann.,,
peThSch,,,,THOMAS [WIBORG],SCHREINER,THOMAS [WIBORG] SCHREINER,1880,,1880-,human,male,Norway,,0,1,norsk-amerikaner (F 1900).,,
peHSch,Q63301561,4145970123532251152,pf01052055029569,HANS [FREDERIK LUDVIG],SCHRØDER,HANS [FREDERIK LUDVIG] SCHRØDER,1836,1902,1836-1902,human,male,Norway,teacher,35,10,norsk skolemann og teatersjef.,,
peLPS,Q12299869,68582408,,LUDVIG [PETER],SCHRØDER,LUDVIG [PETER] SCHRØDER,1836,1908,1836-1908,human,male,Denmark,,0,1,dansk høyskolebestyrer.,,
peRiSch,,,,RICHARD [MARTIN],SCHRØDER,RICHARD [MARTIN] SCHRØDER,1840,1901,1840-1901,human,male,Denmark,"author, translator",1,1,dansk dramatisk forfatter og oversetter.,,
peFKS,Q16721062,75311741,,FRIEDRICH KARL,SCHUBERT,FRIEDRICH KARL SCHUBERT,1832,1892,1832-1892,human,male,Germany,"author, journalist, military officer",0,1,"tysk offiser, journalist og forfatter.",,
peOS,,,,OLE CARELIUS,SCHULERUD,OLE CARELIUS SCHULERUD,1827,1859,1827-1859,human,male,Norway,advocate,2,5,norsk sakfører.,,
pePSch,,,,PETER,SCHULERUD,PETER SCHULERUD,1795,1856,1795-1856,human,male,Norway,,0,1,norsk overtollbetjent.,,
peCFS,Q12305944,,,CHRISTIAN FREDERIK,SCHWARTZKOPF,CHRISTIAN FREDERIK SCHWARTZKOPF,1817,1893,1817-1893,human,male,Denmark,civil servant,1,1,dansk embetsmann.,,
peWSS,Q2575032,77098861,,WILHELM FREIHERR VON,SCHWARZ-SENBORN,WILHELM FREIHERR VON SCHWARZ-SENBORN,1816,1903,1816-1903,human,male,Austria,diplomat,1,1,østerriksk diplomat.,,
peAMS,Q591793,67264372,pl00000000000166,ANTON MARTIN(IUS),SCHWEIGAARD,ANTON MARTIN(IUS) SCHWEIGAARD,1808,1870,1808-1870,human,male,Norway,"lawyer, politician, economist",0,1,"norsk jurist, sosialøkonom og politiker.",,
peCHS,Q1080364,115145970144132251273,pf01053257013181,CHRISTIAN [HOMAN],SCHWEIGAARD,CHRISTIAN [HOMAN] SCHWEIGAARD,1838,1899,1838-1899,human,male,Norway,"lawyer, politician",1,1,norsk jurist og politiker.,,
peAvonS,Q63994058,220643930,,AUGUST KARL HEINRICH VON,SCHWEINITZ,AUGUST KARL HEINRICH VON SCHWEINITZ,1805,1879,1805-1879,human,male,,"engineer, military officer, engineering officer",0,1,prøyssisk ingeniøroffiser.,AGNES VON TSCHEPE,noID
peSchw,,,,FRU PHILIPP,SCHWEITZER,FRU PHILIPP SCHWEITZER,,,,human,male,Norway,,0,1,"ikke identifisert, men muligens norsk, jf. om P. Schweitzer: «machte 1868 eine Ferienreise nach Norwegen, wo er sich verheiratete» (Adolf Hinrichsen, Das literarische Deutschland, 2. Aufl., Berlin: C.F. Steinacher 1891, 225).",,
pePSchw,Q94759127,40161564,,PHILIPP,SCHWEITZER,PHILIPP SCHWEITZER,1846,1890,1846-1890,human,male,Germany,"literary historian, littérateur",1,0,tysk litteraturhistoriker.,,
peEdS,Q4568640,11359118,,EDVARD,SCHØNBERG,EDVARD SCHØNBERG,1831,1905,1831-1905,human,male,Norway,doctor,0,1,norsk lege.,,
peHSE,,,,[MAREN CAROLINE] HENRIETTE,SCHØNBERG [ERKEN],[MAREN CAROLINE] HENRIETTE SCHØNBERG [ERKEN],1866,1953,1866-1953,human,female,Norway,"author, teacher",1,0,norsk husstellærerinne og kokebokforfatter.,ALBERT LEONHARD ERKEN,noID
peWS,,,,WILHELMINE,SCHØNBERG,WILHELMINE SCHØNBERG,1864,1936,1864-1936,human,female,Norway,teacher,1,0,norsk lærerinne.,,
peFCSch,Q5499313,37685361,pf01053257128141,FREDERIK [CHRISTIAN] («FRITZ»),SCHÜBELER,FREDERIK [CHRISTIAN] («FRITZ») SCHÜBELER,1815,1892,1815-1892,human,male,Norway,botanist,0,1,norsk botaniker.,,
peSch,,,,,SCHØLL,SCHØLL,,,,human,male,,,0,1,ikke identifisert.,,
peLSee,Q4964001,,,LOTTEN [JENNY ANNE-MARIE],SEELIG,LOTTEN [JENNY ANNE-MARIE] SEELIG,1867,1924,1867-1924,human,female,Sweden,"actor, theatre director",0,1,svensk skuespillerinne og teaterdirektør.,HARALD SANDBERG,noID
peJSel,Q6172486,,pf01036392022545,JENS [ANDREAS LUDVIG],SELMER,JENS [ANDREAS LUDVIG] SELMER,1845,1928,1845-1928,human,male,Norway,actor,0,7,norsk skuespiller.,LEONORA (Eleonora Josephine) SELMER,peLSe
peJoS,Q981702,67364764,pf01052055011274,JOHAN [PETER],SELMER,JOHAN [PETER] SELMER,1844,1910,1844-1910,human,male,Norway,"composer, conductor",0,1,norsk komponist og dirigent.,,
peLSe,Q42529341,,pf01036392022546,LEONORA (Eleonora Josephine),SELMER,LEONORA (Eleonora Josephine) SELMER,1850,1930,1850-1930,human,female,Norway,actor,0,1,norsk skuespillerinne.,JENS [ANDREAS LUDVIG] SELMER,peJSel
peLASe,Q2054,60158790620538851262,,LUCIUS ANNAEUS,SENECA d.y.,LUCIUS ANNAEUS SENECA d.y.,-0004,0065,-0004-0065,human,male,,"author, politician, philosopher",0,1,"romersk filosof, forfatter og politiker.",,
peCSH,,,,CHARLES LÉON DE,SERVINS D’HÉRICOURT,CHARLES LÉON DE SERVINS D’HÉRICOURT,1843,1911,1843-1911,human,male,France,envoy,0,1,fransk sendemann.,,
peWiS,Q692,96994048,,WILLIAM,SHAKESPEARE,WILLIAM SHAKESPEARE,1564,1616,1564-1616,human,male,England,poet,0,5,engelsk dikter.,,
peGS,Q949742,76356391,pf01037015003008,GEORG [CHRISTIAN],SIBBERN,GEORG [CHRISTIAN] SIBBERN,1816,1901,1816-1901,human,male,Norway,"diplomat, politician",3,8,norsk diplomat og politiker.,,
peLFGS,,,,[LUDVIG FREDERIK] GABRIEL,SIBBERN,[LUDVIG FREDERIK] GABRIEL SIBBERN,1824,1903,1824-1903,human,male,Denmark,philosopher,0,1,dansk filosof.,,
peCNJS,,,,CARL NICOLAI JENSEN,SICHLAU,CARL NICOLAI JENSEN SICHLAU,1814,1877,1814-1877,human,male,Denmark,"actor, singer",0,2,dansk sanger og skuespiller.,,
pePFS,Q94928601,304964051,,PETER FRIEDRICH,SIEBOLD,PETER FRIEDRICH SIEBOLD,1827,1911,1827-1911,human,male,Germany,,9,4,tysk handelsreisende.,,
peSJors,Q313005,5855098,,,,SIGURD 1. Magnusson JORSALFARE,1089,1130,1089-1130,"human, King",male,Norway,King,0,2,norsk konge.,,
peCSi,,,,CHRISTINE [MARIE MAGDALENE],SIEWERS,CHRISTINE [MARIE MAGDALENE] SIEWERS,1828,,1828-,human,female,Norway,actor,0,1,norsk skuespillerinne.,,
pePeSi,,,,PETER,SIMONSEN,PETER SIMONSEN,1831,1895,1831-1895,human,male,Norway,merchant,0,6,norsk kjøpmann og samler.,,
peASi,,,,ANNA [CHRISTINE],SINDING,ANNA [CHRISTINE] SINDING,1855,1914,1855-1914,human,female,,married to,0,4,norsk malerhustru.,OTTO [LUDVIG] SINDING,peOSi
peChrS,Q364854,64273550,pf01053257045006,CHRISTIAN [AUGUST],SINDING,CHRISTIAN [AUGUST] SINDING,1856,1941,1856-1941,human,male,Norway,composer,0,2,norsk komponist.,,
peOSi,Q1387579,57391201,pf01037029004471,OTTO [LUDVIG],SINDING,OTTO [LUDVIG] SINDING,1842,1909,1842-1909,human,male,Norway,"author, painter",0,10,norsk maler og forfatter.,,
peSiSi,Q4582180,438149106005968490162,pf01036373003902,SIGMUND,SINDING,SIGMUND SINDING,1875,1936,1875-1936,human,male,Norway,painter,0,1,norsk maler.,,
peSSi,Q1337281,45085255,pf01038027008533,STEPHAN [ABEL],SINDING,STEPHAN [ABEL] SINDING,1846,1922,1846-1922,human,male,Norway,sculptor,0,4,norsk billedhugger.,,
peASL,Q4723446,64385043,pf01037045019142,[NILS ULRIK] ALFRED,SINDING-LARSEN (før 1881: Sinding Larsen),[NILS ULRIK] ALFRED SINDING-LARSEN (før 1881: Sinding Larsen),1839,1911,1839-1911,human,male,Norway,"author, journalist, civil servant",2,2,"norsk embetsmann, journalist og forfatter.",,
pePSi,Q936269,27879890,pf01037106001633,PER [ERIKSEN] (Peder),SIVLE,PER [ERIKSEN] (Peder) SIVLE,1857,1904,1857-1904,human,male,Norway,author,0,1,norsk forfatter.,,
peES,Q11966559,,pf01052040012258,EDVARD [OTTO ROSSING],SKARI,EDVARD [OTTO ROSSING] SKARI,1839,1903,1839-1903,human,male,Norway,painter,1,0,norsk marinemaler.,,
peOSk,Q4585213,310508854,pl00000000006268,OLAF (Ole),SKAVLAN,OLAF (Ole) SKAVLAN,1838,1891,1838-1891,human,male,Norway,"author, literary historian, littérateur",2,2,norsk forfatter og litteraturhistoriker.,,
peMSBS,Q4579013,96581322,pf01052679001799,MATHIAS [SEVERIN BERNTSEN],SKEIBROK,MATHIAS [SEVERIN BERNTSEN] SKEIBROK,1851,1896,1851-1896,human,male,Norway,sculptor,0,2,norsk billedhugger.,,
peASkr,Q291676,64021492,pd00000007441308,[BERTHE] AMALIE,SKRAM,[BERTHE] AMALIE SKRAM,1846,1905,1846-1905,human,female,Norway,author,0,1,norsk forfatterinne.,"AUGUST MÜLLER, ERIK SKRAM","peLuM, noID"
peCSk,Q2965652,7658509,pf01036470003999,CHRISTIAN [ERICHSEN],SKREDSVIG,CHRISTIAN [ERICHSEN] SKREDSVIG,1854,1924,1854-1924,human,male,Norway,"author, painter",0,1,norsk maler og forfatter.,,
peJNS,Q4586311,121654161,,JOHANNES [NILSSON],SKAAR,JOHANNES [NILSSON] SKAAR,1828,1904,1828-1904,human,male,Norway,bishop,0,1,norsk biskop.,,
peCSm,Q18507975,20457534,,CARL FRITHJOF,SMITH,CARL FRITHJOF SMITH,1859,1917,1859-1917,human,male,"Norway, Germany",painter,0,1,norsk-tysk maler.,,
peEWS,Q18117884,9999112,,ERNEST WILLIAM,SMITH,ERNEST WILLIAM SMITH,1864,1935,1864-1935,human,male,England,journalist,1,0,engelsk journalist.,,
peMSm,Q56007475,303897737,,MATHILDE [JOSEPHINE],SMITH,MATHILDE [JOSEPHINE] SMITH,1826,1882,1826-1882,human,female,Norway,painter,0,1,norsk landskapsmalerinne.,,
peIFS,Q6182306,272149547,,[ISAC] FREDRIK,SMITT,[ISAC] FREDRIK SMITT,1820,1896,1820-1896,human,male,Sweden,"actor, author, theatre director",1,0,"svensk skuespiller, teaterdirektør og forfatter.",,
peCS,Q1040670,41853636,,CARL [JOHAN GUSTAF],SNOILSKY,CARL [JOHAN GUSTAF] SNOILSKY,1841,1903,1841-1903,human,male,Sweden,"diplomat, poet",9,6,svensk dikter og diplomat.,,
peESn,Q44010202,19666411,,EBBA [FREDRIKA ELEONORA],SNOILSKY,EBBA [FREDRIKA ELEONORA] SNOILSKY,1844,1917,1844-1917,human,female,,married to,1,9,svensk forfatterhustru.,CARL TOMAS FREDRIK PIPER,noID
peElS,,,,ELISABETH [FLORENTINA],SNOILSKY,ELISABETH [FLORENTINA] SNOILSKY,1883,1979,1883-1979,human,female,Sweden,,0,1,"svensk, datter av Carl og Ea Snoilsky. ",,
peSnSt,Q102323,89085541,,,,SNORRE STURLASSON,1178,1241,1178-1241,human,male,,,0,1,"islandsk høvding, skald og sagaskriver.",,
peDroS,Q130408,83145969937532250216,,,,SOFIE [WILHELMINE MARIANE HENRIETTE] (Sophie; i Sverige Sofia eller Sophia),1836,1913,1836-1913,"human, Queen",female,"Norway, Sweden",Queen,0,1,"svensk dronning 1872-1913, norsk dronning 1872-1905.",OSCAR 2. (Oscar Fredrik),peKongO2
peAugSoh,Q448905,16149366404485602864,,[PER] AUGUST [FERDINAND],SOHLMAN,[PER] AUGUST [FERDINAND] SOHLMAN,1824,1874,1824-1874,human,male,Sweden,journalist,0,1,svensk pressemann.,,
peRSo,,,,RUDOLF,SOKOLOWSKY,RUDOLF SOKOLOWSKY,1868,,1868-,human,male,,editor,0,1,"redaktør i Hamburg (Anker 2, 150).",,
peJSo,Q2362227,59882817,,JØRGEN [VALENTIN],SONNE,JØRGEN [VALENTIN] SONNE,1801,1890,1801-1890,human,male,Denmark,painter,0,1,dansk maler.,,
peBSo,,,,BOLETTE,SONTUM,BOLETTE SONTUM,1885,1944,1885-1944,human,male,"Norway, United States of America",,0,1,norsk-amerikansk.,,
peCaSo,,,,CAROLINE [EUGENIE],SONTUM,CAROLINE [EUGENIE] SONTUM,1861,1945,1861-1945,human,female,,married to,9,1,norsk legehustru.,CHRISTIAN [FREDRIK] SONTUM,peChrSo
peChrSo,,,,CHRISTIAN [FREDRIK],SONTUM,CHRISTIAN [FREDRIK] SONTUM,1858,1902,1858-1902,human,male,Norway,doctor,7,7,norsk lege.,,
